0-0,0-0.2,0-0.4,0-0.6,0-0.8,0-1.0,0.2-0,0.2-0.2,0.2-0.4,0.2-0.6,0.2-0.8,0.2-1.0,0.4-0,0.4-0.2,0.4-0.4,0.4-0.6,0.4-0.8,0.4-1.0,0.6-0,0.6-0.2,0.6-0.4,0.6-0.6,0.6-0.8,0.6-1.0,0.8-0,0.8-0.2,0.8-0.4,0.8-0.6,0.8-0.8,0.8-1.0,1.0-0,1.0-0.2,1.0-0.4,1.0-0.6,1.0-0.8,1.0-1.0
-63.55762351464963,-70.45220093967654,-72.94070820986306,-74.09638951102498,-74.73811455647778,-75.14295532406645,-62.25584373346904,-70.2497891053344,-72.88028838332414,-74.07118547702868,-74.7248598786179,-75.134735953507,-60.435989203706626,-70.02061326085776,-72.81557110662425,-74.04485272688606,-74.71121334635444,-75.12635328284676,-57.708734159055986,-69.75850523147038,-72.74599043612119,-74.01729042119462,-74.69715275277565,-75.11779911503437,-53.20117628473625,-69.45517646879544,-72.67091079941346,-73.9883902423025,-74.68265122142567,-75.10906456335813,-44.59899538570357,-69.09896038720903,-72.58958668146367,-73.9580337666092,-74.66767959318004,-75.10013909227935
-63.527306762005985,-70.49725498289668,-72.96851070609033,-74.11066330934871,-74.74540881562511,-75.1468143198826,-62.17486677860093,-70.3002297067383,-72.91105261763927,-74.0868340061728,-74.73282244857604,-75.13894561665596,-60.24404175997244,-70.07674037002963,-72.84953658191279,-74.06196926596452,-74.7198823965395,-75.13093162264568,-57.257748926848635,-69.82048315337798,-72.78342578608009,-74.03597565465009,-74.70656880280539,-75.1227650864119,-52.071272179594544,-69.52304915529754,-72.71211367564457,-74.00875183056284,-74.69285784890985,-75.11443835790527,-41.336014568248515,-69.1724185455906,-72.63488746769183,-73.98018801374725,-74.67872306534673,-75.10594243484998
-63.49764034931995,-70.53933429122422,-72.99359276261877,-74.12313062818586,-74.75154623445121,-75.14989213281387,-62.093600207945315,-70.34753328473391,-72.93885788273418,-74.10052543220235,-74.73954155392249,-75.14232314314648,-60.04495856320334,-70.12962356710693,-72.88029322763884,-74.07697028238974,-74.7272171906085,-75.13462462216079,-56.76792215378456,-69.8791827560341,-72.81739045416866,-74.05237886574336,-74.71455540245238,-75.12679015359487,-50.75524679581189,-69.5876989568993,-72.74957192757049,-74.02665675871715,-74.70153510740691,-75.11881317965698,-37.09476991989645,-69.24287633957549,-72.67615781871977,-73.99970116836118,-74.68813226166053,-75.11068603881473
-63.46860049327553,-70.57864165545809,-73.01620511414514,-74.133978225116,-74.75664507596845,-75.15226038658136,-62.01199369823107,-70.39189472421138,-72.96397335003036,-74.11246357916414,-74.74514727706995,-75.14494790026811,-59.83812117669601,-70.1794394767191,-72.90812848154853,-74.09007717345062,-74.73336009950908,-75.13751969212652,-56.2330788883457,-69.93476110672306,-72.84818979442997,-74.066739465268,-74.72126770207198,-75.1299700834378,-49.201593891043814,-69.64924888850736,-72.7836081720656,-74.04236276264804,-74.70885145003164,-75.12229348016587,-31.435059632394392,-69.31040239500472,-72.71373654466716,-74.01685120981972,-74.69608948495235,-75.1144833940525
-63.440164862675594,-70.61536250304606,-73.03656923642734,-74.14336651473067,-74.76080509213429,-75.15397911432584,-61.92999894273128,-70.4334945380529,-72.98663782524,-74.12282402964144,-74.74974949777523,-75.1468863980338,-59.622733424874404,-70.22635480844336,-72.9332986119614,-74.10148121551637,-74.73843155171927,-75.1396900795742,-55.645706928424055,-69.98736804597978,-72.87609743973285,-74.07926491157704,-74.72683712056542,-75.13238513179549,-47.3396317637124,-69.70781977745703,-72.81451307895279,-74.05609388612666,-74.7149497581348,-75.12496681073934,-23.70078355406926,-69.3750706830551,-72.74793070501089,-74.03187906038777,-74.70274957378506,-75.11742965608009
-63.41231246954959,-70.64966658129356,-73.05488109641443,-74.1514337929933,-74.76411095590592,-75.1550991455701,-61.847546418657686,-70.47249999165824,-73.00706351650838,-74.1317585233938,-74.75344156281838,-75.14819488720498,-59.39791494347365,-70.27052672087754,-72.95603236315945,-74.11134811706854,-74.74253394343721,-75.14119768153279,-54.99653560116809,-70.03714634513057,-72.90135876539574,-74.09013538996282,-74.73137549862062,-75.13410307746975,-45.069761973428506,-69.76352978179791,-72.84254858012278,-74.0680452468478,-74.71995173986572,-75.12690708100187,-13.024336294304755,-69.43695901072454,-72.77901847277877,-74.04499513417603,-74.70824454818221,-75.11960513378045
-63.38502356884793,-70.68170946922021,-73.07131442793522,-74.15829975135632,-74.76663502144103,-75.15566396655976,-61.76456588757837,-70.50906614553445,-73.02543922962731,-74.139398641886,-74.75630325343852,-75.14892139602995,-59.16273369652303,-70.31210322252733,-72.97653417296787,-74.11982186024171,-74.74575481673645,-75.1420952625241,-54.27438939031752,-70.0842263965661,-72.92419398985166,-74.0995077917102,-74.7349784908911,-75.13518162484712,-42.24945283207591,-69.81649402014675,-72.86795079395048,-74.07838712471732,-74.72396153959075,-75.12817715099649,1.260963795511456,-69.49614777965759,-72.8072518086557,-74.05638352129569,-74.7126874392649,-75.12107807552582
-63.35827956603881,-70.7116339357576,-73.0860236012317,-74.16406840288974,-74.76843954717084,-75.15571117315413,-61.68099017145204,-70.54333682024709,-73.04193321561198,-74.14585889649027,-74.75840318801357,-75.1491073301739,-58.91619566704863,-70.35122359563971,-72.99498701013363,-74.12702794243822,-74.7481694455802,-75.14242820552873,-53.464735043742756,-70.12873192952154,-72.94480094436386,-74.10751909592156,-74.73772833900617,-75.135670309965,-38.6695589581414,-69.86682429483805,-72.89093267922185,-74.08726846408439,-74.7270687015936,-75.1288308964351,18.131410704312337,-69.55271896746413,-72.83285893874229,-74.06620558162636,-74.71617544723252,-75.12190689795479
-63.332062931977866,-70.73957116016575,-73.09914610228729,-74.16883052128829,-74.76957848900575,-75.15527360804046,-61.59675461521784,-70.57544548813357,-73.05669588306691,-74.15123931865676,-74.75980077018242,-75.14878873227634,-58.65714859525114,-70.38801883203159,-73.01155487456298,-74.13307611242945,-74.74984294259846,-75.14223589747681,-52.54936753631341,-70.17078212796818,-72.96335754255712,-74.11428924295478,-74.73969614075182,-75.13561201561421,-34.020715095876184,-69.91462889293285,-72.91168643515465,-74.09481987097472,-74.72935060551777,-75.12891485716158,33.415924885351124,-69.60675529391561,-72.8560466360883,-74.07460304547467,-74.71879254691119,-75.12214197180278
-63.30635712447133,-70.76564182891057,-73.11080467632702,-74.17266567602704,-74.77009894914738,-75.15438025303031,-61.51179660315302,-70.60551609620288,-73.06986194779576,-74.15562763405389,-74.76054777078498,-75.14799727592192,-58.384175266168604,-70.4226120723482,-73.02638463393161,-74.13806268069986,-74.75083197775899,-75.14155282807155,-51.50498052905331,-70.21049143076678,-72.98002397888197,-74.1199235757191,-74.74094370913511,-75.13504417829047,-27.84756621939147,-69.96001245201418,-72.93038566537966,-74.10115617639461,-74.73087446964068,-75.1284695556028,42.96317466188585,-69.65833954105312,-72.87700231068125,-74.08170068481476,-74.72061163910075,-75.12182705547038
